clean_acc,fgsm_Linf_acc0_1,fgsm_Linf_acc0_5,fgsm_Linf_acc1_0,fgsm_Linf_acc2_0,fgsm_Linf_acc3_0,fgsm_Linf_acc4_0,fgsm_Linf_acc5_0,fgsm_Linf_acc6_0,fgsm_Linf_acc7_0,fgsm_Linf_acc8_0,fgsm_Linf_acc255_0,pgd_Linf_acc0_1,pgd_Linf_acc0_5,pgd_Linf_acc1_0,pgd_Linf_acc2_0,pgd_Linf_acc3_0,pgd_Linf_acc4_0,pgd_Linf_acc8_0,aa_apgd_ce_Linf_acc0_1,aa_apgd_ce_Linf_acc0_5,aa_apgd_ce_Linf_acc1_0,aa_apgd_ce_Linf_acc2_0,aa_apgd_ce_Linf_acc3_0,aa_apgd_ce_Linf_acc4_0,aa_apgd_ce_Linf_acc8_0,aa_square_Linf_acc0_1,aa_square_Linf_acc0_5,aa_square_Linf_acc1_0,aa_square_Linf_acc2_0,aa_square_Linf_acc3_0,aa_square_Linf_acc4_0,aa_square_Linf_acc8_0
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.453,0.434,0.355,0.276,0.166,0.106,0.068,0.046,0.035,0.025,0.021,0.011,0.436,0.363,0.285,0.16,0.085,0.044,0.003,0.434,0.351,0.259,0.126,0.051,0.022,0.001,0.446,0.397,0.332,0.216,0.144,0.089,0.019
0.573,0.512,0.315,0.178,0.079,0.05,0.038,0.033,0.029,0.027,0.025,0.01,0.516,0.313,0.141,0.022,0.004,0.001,0.0,0.51,0.269,0.082,0.007,0.0,0.0,0.0,0.557,0.45,0.324,0.148,0.066,0.032,0.005
0.688,0.586,0.327,0.207,0.143,0.115,0.104,0.093,0.088,0.083,0.08,0.01,0.59,0.26,0.075,0.009,0.001,0.001,0.0,0.576,0.173,0.027,0.001,0.0,0.0,0.0,0.658,0.451,0.254,0.078,0.033,0.015,0.003
0.671,0.559,0.284,0.167,0.107,0.088,0.081,0.072,0.066,0.062,0.057,0.01,0.565,0.213,0.051,0.003,0.0,0.0,0.0,0.547,0.139,0.017,0.0,0.0,0.0,0.0,0.646,0.442,0.246,0.085,0.032,0.017,0.003
0.673,0.549,0.261,0.136,0.077,0.062,0.051,0.049,0.048,0.045,0.045,0.01,0.556,0.191,0.039,0.003,0.001,0.001,0.0,0.535,0.113,0.011,0.0,0.0,0.0,0.0,0.642,0.422,0.226,0.062,0.019,0.01,0.002
0.689,0.569,0.304,0.193,0.128,0.107,0.092,0.081,0.075,0.072,0.068,0.01,0.573,0.223,0.052,0.004,0.001,0.0,0.0,0.552,0.134,0.014,0.0,0.0,0.0,0.0,0.655,0.436,0.246,0.077,0.028,0.012,0.004
0.729,0.613,0.35,0.243,0.175,0.147,0.125,0.112,0.1,0.089,0.082,0.01,0.617,0.248,0.072,0.008,0.001,0.0,0.0,0.596,0.153,0.019,0.001,0.0,0.0,0.0,0.694,0.481,0.273,0.094,0.032,0.015,0.002
0.664,0.582,0.366,0.264,0.198,0.178,0.164,0.152,0.142,0.132,0.124,0.011,0.587,0.309,0.128,0.031,0.011,0.005,0.0,0.572,0.227,0.052,0.006,0.002,0.0,0.0,0.649,0.494,0.323,0.132,0.063,0.033,0.006
0.527,0.478,0.316,0.185,0.085,0.052,0.04,0.034,0.031,0.028,0.027,0.007,0.482,0.316,0.153,0.027,0.004,0.001,0.0,0.477,0.279,0.102,0.008,0.001,0.0,0.0,0.512,0.424,0.316,0.153,0.074,0.036,0.004
0.655,0.543,0.264,0.138,0.078,0.062,0.052,0.049,0.047,0.043,0.041,0.011,0.55,0.215,0.053,0.004,0.001,0.0,0.0,0.534,0.142,0.019,0.001,0.0,0.0,0.0,0.626,0.435,0.249,0.081,0.029,0.014,0.002
0.667,0.552,0.274,0.16,0.1,0.082,0.074,0.067,0.063,0.059,0.054,0.007,0.557,0.2,0.045,0.002,0.0,0.0,0.0,0.538,0.125,0.012,0.0,0.0,0.0,0.0,0.635,0.439,0.247,0.08,0.029,0.013,0.002
